All,Tous
"Allow Multiple Boxes for Shipping","Autoriser plusieurs colisages pour l'expédition"
"start typing to search attribute","commencez à taper pour rechercher un attribut"
"Basic Settings","Paramètres de base"
"Advanced Settings","Paramètres avancés"
"Buy %1 for: ","Achetez-en %1 pour : "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Achetez-en %1 pour %2 l'unité et <strong class=""benefit"">économisez<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Achetez-en %1 pour %2 l'unité"
"Shop By","Filtrer par"
"Shopping Options","Affiner la recherche"
"Compare Products","Comparer des produits"
"Print This Page","Imprimer cette page"
"Remove Product","Enlever le produit"
"Add to Wish List","Ajouter à la liste d'achats"
"You have no items to compare.","Vous n'avez pas d'articles à comparer."
"Remove This Item","Retirer cet élément"
Compare,Comparer
"Clear All","Tout supprimer"
Prev,Précédent
"We can't find products matching the selection.","Nous ne pouvons pas trouver de produits correspondants à la sélection."
"Learn More","En savoir plus"
"Add to Compare","Ajouter au comparateur"
"We found other products you might like!","Nous avons trouvé d'autres produits que vous pourriez aimer !"
"More Choices:","Plus de choix :"
"Check items to add to the cart or","Cochez les articles à ajouter au panier ou"
"select all","tout sélectionner"
"Items %1-%2 of %3","Articles %1-%2 sur %3"
"%1 Item","%1 article"
"%1 Items","%1 articles"
Show,Afficher
"Sort By","Trier par"
"Set Ascending Direction","Par ordre croissant"
"Set Descending Direction","Par ordre décroissant"
"View as","Afficher en"
"More Information","Plus d'infos"
"Configure Product","Configurer le produit"
"This value does not follow the specified format (for example, 200x300).","Cette valeur ne suit pas le format spécifié (par exemple, 200x300)."
"Select type of option.","Choisissez un type d'option."
"Please add rows to option.","Veuillez ajouter des lignes à l'option"
"Choose existing category.","Choisissez une catégorie existante."
"Image Detail","Détail de l’image"
Adding...,"En cours d'ajout..."
Added,Ajouté
"does not implement Storage Interface","n'implémente pas l'interface de stockage"
"unselect all","tout désélectionner"
Inventory,Inventaire
"Catalog Section","Section catalogue"
Small,Petit
Main,Principal
"Custom image","Image personnalisée"
"Product Fields Auto-Generation","Auto-génération de champs de produits"
"Mask for SKU","Gabarit de la REF"
"Use {{name}} as Product Name placeholder","Utiliser {{name}} comme nom de produit remplacant"
"Mask for Meta Title","Masque pour le titre Meta"
"Mask for Meta Keywords","Masque pour les mots clés Meta"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Utiliser {{name}} comme nom de produit ou {{sku}} comme espaces réservés REF produit"
"Mask for Meta Description","Masque pour la description Meta"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Utiliser {{name}} et {{description}} comme nom de produit et description produit"
"Recently Viewed/Compared Products","Produits récemment consultés/comparés"
"Lifetime of products in Recently Viewed Widget","Durée de vie des produits dans le Widget des produits vus récemment"
"Lifetime of products in Recently Compared Widget","La durée de vie des produits Récemment par Rapport Widget"
"Synchronize widget products with backend storage","Synchroniser widget produits avec backend de stockage"
Storefront,Vitrine
"List Mode","Mode d'affichage"
"Products per Page on Grid Allowed Values","Valeurs autorisées pour le nombre de produits par page dans l'affichage en grille"
Comma-separated.,"Séparées par des virgules."
"Products per Page on Grid Default Value","Produits par page dans l'affichage en grille"
"Must be in the allowed values list","Doit être dans la liste des valeurs autorisées"
"Products per Page on List Allowed Values","Produits par page dans l'affichage en liste"
"Products per Page on List Default Value","Produits par page dans l'affichage en liste par défaut"
"Use Flat Catalog Category","Utiliser le catalogue à plat pour les catégories"
"Use Flat Catalog Product","Utiliser le catalogue à plat pour les produits"
"Product Listing Sort by","Tri des listes de produits"
"Allow All Products per Page","Autoriser tous les produits par page"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Si option ""Tous"" dans le ""Afficher les X Par Page"" liste déroulante"
"Allow Dynamic Media URLs in Products and Categories","Autoriser les URLs de media dynamiques dans les produits et catégories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Par ex. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Le parsing des directives dynamiques peut affecter les performances du catalogue."
"Product Image Placeholders","Emplacements de l'image par défaut des produits"
"Page Title Separator","Séparateur de titre de page"
"Use Canonical Link Meta Tag For Categories","Utiliser un lien canonique de meta tag pour les catégories"
"Use Canonical Link Meta Tag For Products","Utiliser un lien canonique de meta tag pour les produits"
"Catalog Price Scope","Portée des prix catalogue"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Ceci définit la devise de base champ d'application (la""Monnaie d'Installation"" > ""Options de change"" > ""Devise de Base"")."
"Category Top Navigation","Navigation dans les catégories"
"Maximal Depth","Profondeur maxi"
"Date & Time Custom Options","Options de date & heure personnalisées"
"Use JavaScript Calendar","Utiliser le calendrier JavaScript"
"Date Fields Order","Ordre des champs de date"
"Time Format","Format d'heure"
"Year Range","Période annuelle"
"Please use a four-digit year format.","Veuillez utiliser un format année sur quatre chiffres."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Utiliser les URLs statiques pour le contenu média dans l'éditeur WYSIWYG pour le catalogue"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Cela s'applique uniquement au catalogue de produits et de catégories. Le contenu des médias sera inséré dans l'éditeur comme une URL statique. Le contenu des médias n'est pas mis à jour si le système de configuration de la base de changements de l'URL."
"Top Level Category","Catégorie de niveau supérieur"
"Product Info Column","Colonne d'information de produit"
"Block after Info Column","Bloc après la colonne d'information"
"Product Flat Data","Données fixes de produit"
"Reorganize EAV product structure to flat structure","Réorganise la structure de produit EAV en une structure fixe"
"Category Flat Data","Données fixes de catégorie"
"Reorganize EAV category structure to flat structure","Réorganise la structure de catégorie EAV en une structure fixe"
"Category Products","Produits de la catégorie"
"Indexed category/products association","Index des associations catégorie/produits"
"Product Categories","Catégories du produit"
"Indexed product/categories association","Association des produits et catégories indexés"
"Product Price","Prix du produit"
"Index product prices","Index des tarifs produit"
"Product EAV","Produit EAV"
"Index product EAV","Index produits EAV"
"Catalog New Products List","Liste des nouveaux produits du catalogue"
"List of Products that are set as New","Liste des produits configurés comme ""Nouveaux"""
"Display Type","Type d'affichage"
"All products - recently added products, New products - products marked as new","Tous les produits - produits ajoutés récemment, nouveaux produits - produits configurés comme nouveaux"
"All products","Tous les produits"
"New products","Nouveaux produits"
"Display Page Control","Contrôle de l'affichage de la page"
"Number of Products per Page","Nombre de produits par page"
"Number of Products to Display","Nombre de produits à afficher"
Template,Gabarit
"New Products Grid Template","Gabarit des nouveaux produits sous forme de grille"
"New Products List Template","Gabarit des nouveaux produits sous forme de liste"
"New Products Images and Names Template","Nouveau des Images de Produits et Noms de Modèle"
"New Products Names Only Template","De Nouveaux Produits Uniquement Des Noms De Modèle"
"New Products Images Only Template","Gabarit des images des nouveaux produits"
"Cache Lifetime (Seconds)","Durée de vie du cache (secondes)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 par défaut, si non renseigné. Pour actualiser, purgez le cache de sortie des blocs HTML."
"Catalog Product Link","Lien produit catalogue"
"Link to a Specified Product","Lien vers un produit spécifique"
"Select Product...","Choisir un produit..."
"Anchor Custom Text","Présenter un texte personnalisé"
"If empty, we'll use the product name here.","Si le champ est vide, le nom du produit sera utilisé ici."
"Anchor Custom Title","Présenter un titre personnalisé"
"Product Link Block Template","Gabarit de lien produit (bloc)"
"Product Link Inline Template","Gabarit de lien produit (en ligne)"
"Catalog Category Link","Lien vers les catégories de catalogue"
"Link to a Specified Category","Lien vers une catégorie spécifique"
"Select Category...","Choisir une catégorie..."
"If empty, we'll use the category name here.","Si le champ est vide, le nom de la catégorie sera utilisée ici."
"Category Link Block Template","Gabarit du bloc lien catégorie"
"Category Link Inline Template","Gabarit inline de lien catégorie"
"Recently Viewed Products","Derniers produits consultés"
"List of Products Recently Viewed by Visitor","Liste des derniers produits vus par le visiteur"
